Episode,AverageReward_AllAgents
1,-16.666666666666664
2,-10.666666666666638
3,-9.999999999999995
4,-13.333333333333314
5,-5.921189464667502e-14
6,-9.99999999999995
7,-20.000000000000014
8,-13.333333333333314
9,-13.333333333333316
10,-20.000000000000014
11,-13.333333333333343
12,-20.000000000000014
13,-16.66666666666666
14,-3.999999999999972
15,-17.333333333333314
16,-6.6666666666667185
17,1.9999999999999811
18,5.333333333333262
19,-13.333333333333316
20,-7.999999999999958
21,-0.6666666666667371
22,-8.000000000000014
23,-20.000000000000014
24,4.66666666666658
25,-2.666666666666719
26,20.666666666666632
27,-4.6666666666666705
28,2.666666666666695
29,-0.6666666666667284
30,-16.666666666666664
31,3.3333333333332718
32,-16.666666666666664
33,-10.000000000000066
34,5.999999999999951
35,2.6666666666666994
36,13.333333333333217
37,-5.3333333333333
38,-20.000000000000014
39,-13.333333333333345
40,-7.9999999999999565
41,-7.333333333333388
42,-13.333333333333314
43,-13.99999999999998
44,-16.666666666666664
45,-6.6666666666667185
46,-13.999999999999986
47,-13.333333333333314
48,-11.333333333333307
49,31.33333333333344
50,-9.99999999999998
51,2.000000000000027
52,5.333333333333263
53,4.6666666666666385
54,-4.666666666666691
55,-7.9999999999999645
56,-10.666666666666634
57,22.666666666666497
58,6.666666666666579
59,-16.666666666666664
60,-1.333333333333333
61,11.999999999999881
62,2.66666666666667
63,25.33333333333337
64,-3.333333333333385
65,-3.999999999999991
66,-4.000000000000047
67,3.3333333333333646
68,-7.999999999999957
69,-1.333333333333395
70,23.333333333333147
71,-20.000000000000014
72,2.666666666666575
73,12.666666666666515
74,25.99999999999982
75,-4.666666666666714
76,-16.66666666666666
77,-3.3333333333333606
78,20.000000000000174
79,-13.999999999999963
80,17.999999999999993
81,-13.99999999999998
82,3.333333333333268
83,-6.6666666666667185
84,-6.66666666666665
85,20.666666666666593
86,-2.6666666666666727
87,20.666666666666583
88,5.99999999999995
89,22.666666666667027
90,19.333333333333343
91,9.99999999999986
92,11.99999999999993
93,-16.66666666666667
94,65.33333333333364
95,15.333333333333172
96,48.000000000000234
97,50.00000000000008
98,41.33333333333365
99,11.999999999999948
100,-5.999999999999967
101,-7.333333333333303
102,33.33333333333354
103,28.6666666666666
104,-5.3333333333333
105,25.33333333333327
106,26.666666666666455
107,38.00000000000014
108,28.666666666666476
109,46.66666666666689
110,16.66666666666654
111,-5.999999999999974
112,-3.9999999999999933
113,13.333333333333329
114,11.999999999999929
115,69.99999999999996
116,42.66666666666679
117,4.666666666666601
118,-7.3333333333333
119,54.00000000000016
120,11.999999999999924
121,-6.666666666666621
122,14.666666666666638
123,52.66666666666686
124,16.6666666666666
125,-7.33333333333331
126,31.999999999999826
127,43.33333333333339
128,94.66666666666704
129,-11.333333333333284
130,12.666666666666531
131,5.999999999999964
132,28.666666666666902
133,19.99999999999994
134,9.9999999999999
135,11.99999999999998
136,19.999999999999986
137,26.66666666666652
138,21.999999999999847
139,-10.666666666666632
140,46.000000000000036
141,27.999999999999975
142,17.333333333333247
143,52.66666666666669
144,-4.666666666666704
145,-11.3333333333333
146,39.33333333333342
147,-0.6666666666666785
148,12.666666666666595
149,-2.6666666666666496
150,-9.999999999999993
151,17.333333333333194
152,9.999999999999828
153,-11.333333333333307
154,31.999999999999744
155,19.999999999999837
156,-3.333333333333316
157,21.33333333333319
158,22.66666666666701
159,-4.000000000000015
160,0.6666666666666826
161,-3.333333333333387
162,37.33333333333337
163,7.333333333333255
164,30.000000000000043
165,22.000000000000004
166,47.99999999999977
167,19.333333333333325
168,-6.666666666666637
169,29.33333333333334
170,22.666666666666554
171,18.666666666666497
172,82.66666666666684
173,-10.666666666666679
174,12.666666666666572
175,37.333333333333364
176,-10.666666666666629
177,58.66666666666674
178,26.666666666666647
179,11.333333333333291
180,13.333333333333137
181,17.33333333333316
182,26.666666666666856
183,5.333333333333315
184,-16.666666666666664
185,13.33333333333325
186,53.333333333333194
187,79.99999999999993
188,21.999999999999932
189,-3.333333333333306
190,37.33333333333321
191,51.33333333333329
192,61.333333333333734
193,1.9999999999999956
194,-16.666666666666668
195,-4.666666666666654
196,-20.000000000000014
197,-11.333333333333316
198,57.99999999999995
199,-10.66666666666662
200,24.666666666666597
201,-3.333333333333313
202,-14.666666666666648
203,-1.3333333333333492
204,-1.3333333333333475
205,13.333333333333217
206,34.6666666666668
207,76.66666666666701
208,65.99999999999996
209,5.333333333333333
210,-7.33333333333329
211,12.666666666666517
212,44.666666666666686
213,-14.666666666666634
214,27.33333333333333
215,66.00000000000026
216,5.333333333333343
217,39.33333333333336
218,54.666666666666764
219,19.333333333333226
220,-16.666666666666664
221,68.6666666666668
222,68.66666666666704
223,-11.333333333333316
224,11.333333333333178
225,64.66666666666676
226,-1.3333333333333002
227,-20.000000000000014
228,8.66666666666649
229,52.666666666666835
230,-20.000000000000014
231,-20.000000000000014
232,74.66666666666718
233,48.00000000000036
234,-9.333333333333306
235,34.00000000000016
236,67.99999999999996
237,-6.666666666666717
238,42.000000000000036
239,9.99999999999998
240,9.333333333333206
241,-0.6666666666667022
242,48.66666666666665
243,106.00000000000027
244,47.99999999999985
245,-10.666666666666659
246,23.33333333333322
247,-13.333333333333345
248,-3.333333333333329
249,-16.666666666666664
250,121.33333333333364
251,17.999999999999932
252,29.333333333333098
253,80.66666666666664
254,5.333333333333308
255,15.333333333333167
256,20.66666666666649
257,19.333333333333194
258,111.33333333333373
259,37.99999999999975
260,126.6666666666673
261,14.666666666666606
262,22.666666666666572
263,-6.66666666666664
264,30.666666666666572
265,28.666666666666455
266,29.333333333333496
267,-7.3333333333333615
268,16.666666666666686
