Episode,AverageReward_CentralizedIQL
117,-42.57687500000021
118,-47.87015625000033
119,-41.769531250000284
120,-41.47218750000035
121,-43.22125000000027
122,-45.890000000000185
123,-43.65734375000008
124,-46.5565625
125,-48.85906250000006
126,-42.843437500000334
127,-43.60234375000028
128,-46.49031250000031
129,-42.234843750000216
130,-37.74328125000025
131,-49.448281250000214
132,-34.60750000000016
133,-39.31156250000024
134,-43.57390625000025
135,-42.809843750000084
136,-49.32703125000011
137,-42.53250000000023
138,-47.712187500000205
139,-44.27875000000012
140,-44.20968750000009
141,-46.12875000000019
142,-43.739218750000354
143,-49.61046875000031
144,-49.06125000000015
145,-43.159375000000345
146,-43.21671875000026
147,-49.34984375000028
148,-48.198281250000335
149,-47.23687500000038
150,-39.05265625000007
151,-41.04859375000015
152,-43.531875000000234
153,-42.91812500000015
154,-44.812031250000196
155,-43.66968750000023
156,-47.85406250000025
157,-45.16109375000032
158,-49.80906250000038
159,-49.23406250000019
160,-45.60250000000031
161,-44.77109375000026
162,-46.03515625000029
163,-45.370937500000316
164,-49.34062500000021
165,-43.91609375000027
166,-41.567968750000325
167,-49.3776562500003
168,-45.62796875000022
169,-45.32531250000027
170,-44.94718750000015
171,-49.36203125000025
172,-45.63312500000009
173,-48.64000000000017
174,-48.98343750000018
175,-39.80031250000025
176,-45.31453125000024
177,-46.9789062500002
178,-46.62843750000007
179,-45.51265625000007
180,-49.14656249999997
181,-46.86921875000025
182,-36.408281250000336
183,-44.59953125000022
184,-46.289531250000316
185,-41.27218750000028
186,-43.08875000000032
187,-42.74296875000034
188,-42.68640625000018
189,-37.34921875000021
190,-42.19125000000026
191,-47.56296875000009
192,-45.30468750000034
193,-41.3557812500002
194,-43.09875000000016
195,-47.63843750000036
196,-47.89968750000027
197,-42.39968750000026
198,-49.413906250000096
199,-46.09484375000016
200,-48.809062500000216
201,-43.790468750000066
202,-48.22593750000037
203,-49.26500000000024
204,-49.3640625000003
205,-48.059218750000305
206,-49.34578125000023
207,-49.70187500000042
208,-48.819531250000125
209,-46.55250000000012
210,-43.470468750000244
211,-42.772031250000104
212,-45.43921875000039
213,-42.67609375000023
214,-49.38640625000032
215,-46.18578125000026
216,-44.530937500000114
217,-47.41453125000027
218,-44.77312500000021
219,-49.53312500000022
220,-45.59500000000015
221,-49.47859375000037
222,-44.17390624999999
223,-43.42546875000036
224,-47.39390625000033
225,-48.0809375000003
226,-46.8567187500002
227,-46.54156250000012
228,-48.22000000000025
229,-42.83312500000027
230,-40.37593750000019
231,-47.29312500000021
232,-45.098906250000304
233,-48.83843750000001
234,-48.09484375000032
235,-35.87703125000032
236,-49.3670312500002
237,-45.638750000000236
238,-44.51421875000029
239,-46.059375000000166
240,-47.106718750000326
241,-47.59578125000037
242,-45.55656250000022
243,-45.48906250000019
244,-47.64328125000038
245,-47.51250000000028
246,-47.40562500000034
247,-46.39812500000032
248,-37.00750000000027
249,-42.18828125000034
250,-39.808437500000245
251,-40.56656250000021
252,-47.925000000000175
253,-46.00328125000023
254,-41.33718750000033
255,-46.24843749999998
256,-49.2914062500002
257,-49.20171875000017
258,-41.70718750000018
259,-42.62109375000029
260,-41.38875000000025
261,-46.10843750000029
262,-48.314687500000446
263,-49.53453125000038
264,-49.45828125000038
265,-47.059843750000255
266,-39.4137500000003
267,-46.07078125000033
268,-40.60734375000025
269,-47.05593750000021
270,-47.31312500000012
271,-38.88937500000022
272,-47.08250000000041
273,-47.070312500000334
274,-49.80093750000044
275,-47.3279687500003
276,-47.78750000000037
277,-35.71000000000031
278,-47.227187500000284
279,-47.92765625000026
280,-45.34484375000021
281,-48.17109375000013
282,-46.514531250000225
283,-45.089062500000345
284,-49.57375000000032
285,-47.04828125000022
286,-44.23437500000028
287,-49.082031249999986
288,-43.09437500000018
289,-41.21734375000028
290,-46.69203125000012
291,-49.719687500000425
292,-46.77531250000026
293,-47.2309375000001
294,-49.3092187500002
295,-45.32593750000036
296,-38.243125000000354
297,-46.73437500000033
298,-42.09109375000016
299,-44.739531250000155
300,-47.4057812500003
301,-43.97343750000033
302,-46.05625000000037
303,-41.33359375000026
304,-43.922500000000284
305,-46.82406250000024
306,-41.14718750000026
307,-46.825937500000066
308,-49.204531250000244
309,-41.65015625000017
310,-42.64437500000026
311,-42.295156250000225
312,-44.25109375000027
313,-42.93546875000009
314,-48.28796875000035
315,-40.80953125000023
316,-35.68859375000016
317,-49.3385937500002
318,-47.86578125000031
319,-48.984843749999875
320,-44.792500000000274
321,-46.820781250000366
322,-49.36500000000015
323,-38.9685937500002
324,-47.45250000000027
325,-47.548906250000066
326,-42.54218750000029
327,-49.52281250000033
328,-49.42578125000028
329,-38.98343750000026
330,-43.34375000000022
331,-49.01874999999998
332,-45.59734375000025
333,-40.784375000000246
334,-49.29171875000024
335,-38.355312500000316
336,-45.65750000000019
337,-45.00546875000027
338,-47.6006250000002
339,-49.29218750000021
340,-48.984687500000206
341,-45.43359375000022
342,-46.87968750000026
343,-44.2465625000002
344,-40.274062500000305
345,-39.66796875000005
346,-48.95187500000024
347,-49.108906250000196
348,-41.673593750000286
349,-47.73437500000011
350,-41.27171875000037
351,-46.88515625000018
352,-41.46375000000009
353,-48.63968750000016
354,-46.96906250000041
355,-35.10968750000029
356,-43.905781250000196
357,-45.69500000000029
358,-48.80703125000004
359,-42.64875000000038
360,-46.58234375000017
361,-49.21546875000019
362,-48.621406250000035
363,-49.44203125000027
364,-49.62156250000033
365,-47.23093750000021
366,-48.78812500000008
367,-47.72531250000032
368,-43.303593750000346
369,-49.6178125000004
370,-43.63703125000029
371,-46.90531250000042
372,-46.17796875000044
373,-49.5990625000003
374,-46.17187500000037
375,-43.66515625000006
376,-43.84875000000035
377,-48.15000000000027
378,-45.46750000000023
379,-47.01328125000026
380,-47.65390625000036
381,-48.99921875000019
382,-45.02843750000023
383,-43.211562500000184
384,-45.421406250000295
385,-46.75640625000023
386,-33.93046875000033
387,-42.685781250000275
388,-45.84000000000037
389,-43.26234375000037
390,-36.77828125000016
391,-48.07500000000016
392,-47.56375000000026
393,-45.46234375000016
394,-43.76031250000023
395,-47.838437500000104
396,-48.98500000000011
397,-45.59718750000031
398,-47.06171875000036
399,-42.049687500000225
400,-47.30484375000021
401,-41.958437500000336
402,-40.5712500000003
403,-49.45078125000027
404,-41.550937500000124
405,-47.704843750000364
406,-44.55734375000009
407,-47.53500000000034
408,-40.47984375000024
409,-48.0210937500002
410,-49.20140625000027
411,-44.00812500000028
412,-45.685781250000325
413,-46.31546875000022
414,-40.39515625000018
415,-49.54203125000037
416,-40.10203125000027
417,-49.238437500000266
418,-49.162812500000186
419,-45.40453125000019
420,-44.748750000000285
421,-45.25734375000014
422,-47.051562500000074
423,-47.93937500000026
424,-41.64968750000029
425,-43.33468750000019
426,-49.69437500000044
427,-45.971093750000236
428,-45.288750000000235
429,-48.696875000000084
430,-49.040312500000134
431,-48.27921875000039
432,-49.16656250000016
433,-45.15859375000029
434,-43.11312500000011
435,-47.498906250000054
436,-43.44265625000034
437,-43.396562500000236
438,-48.57984374999996
439,-49.23187500000018
440,-47.310000000000215
441,-47.0098437500003
442,-44.02937500000009
443,-46.61343750000004
444,-45.79203125000026
445,-47.42734375000019
446,-49.534531250000384
447,-44.345156250000294
448,-49.32375000000025
449,-43.114531250000326
450,-44.10375000000017
451,-42.10875000000038
452,-38.72281250000017
453,-47.627812500000225
454,-39.1542187500001
455,-41.57765625000024
456,-39.4731250000004
457,-46.338125000000105
458,-41.308750000000266
459,-46.705625000000396
460,-45.17406250000027
461,-48.99828125000004
462,-43.008906250000166
463,-43.36609375000032
464,-40.61359375000024
465,-44.67390625000024
466,-46.454687500000034
467,-43.939218750000265
468,-39.56453125000035
469,-44.29500000000014
470,-46.430937500000034
471,-47.61843750000019
472,-40.927656250000275
473,-46.19281250000005
474,-48.048750000000034
475,-44.12500000000013
476,-47.22312500000015
477,-47.07796875000036
478,-46.73250000000029
479,-48.87062500000008
480,-44.554218750000366
481,-46.25203125000026
482,-41.75593750000024
483,-47.37500000000018
484,-47.24921875000024
485,-47.36500000000017
486,-47.34796875000026
487,-42.13921875000032
488,-48.066406250000234
489,-49.408437500000154
490,-42.32234375000024
491,-45.32187500000014
492,-44.15109375000002
493,-48.954062500000106
494,-46.08421875000017
495,-49.334218750000105
496,-47.210156250000175
497,-48.70390625000019
498,-48.21343750000033
499,-43.468125000000335
500,-46.902812500000046
501,-47.20687500000025
502,-47.29531250000024
503,-44.99156250000011
504,-43.74406250000031
505,-44.10046875000022
506,-46.68843750000006
507,-43.35343750000032
508,-44.5492187500002
509,-49.13046875000012
510,-49.2465625000001
511,-45.19078125000026
512,-46.71031250000009
513,-39.00468750000018
514,-47.330000000000105
515,-45.04109375000027
516,-49.335312500000285
517,-45.271250000000116
518,-46.48609375000017
519,-45.22500000000019
520,-45.741562500000285
521,-49.3056250000002
522,-47.19703125000019
523,-43.234687500000064
524,-49.632343750000295
525,-43.30562500000033
526,-48.88109375000012
527,-44.27031250000021
528,-45.21531250000021
529,-49.3125000000003
530,-41.732343750000304
531,-45.95203125000018
532,-44.21671875000015
533,-48.22328125000035
534,-47.64796875000035
535,-49.30406250000022
536,-45.4996875000001
537,-44.116718749999954
538,-44.81718750000011
539,-42.89828125000036
540,-45.51625000000014
541,-42.91593750000028
542,-48.82343749999996
543,-49.22171875000003
544,-47.47906250000022
