Episode,AverageReward_IQL
10,-43.781562499999986
20,-39.36371093750002
30,-30.18359375000003
40,-25.09121093750005
50,-22.351445312500022
60,-8.408671875000016
70,-14.576679687499984
80,-12.7052734375
90,-7.385234374999985
100,-15.579609375000002
110,-13.470195312500007
120,-19.989140625000005
130,-33.950429687499984
140,-21.748242187500004
150,-24.66226562499999
160,-15.970625000000005
170,-10.051679687499995
180,-23.282031250000006
190,-6.2482812500000176
200,-10.195585937500002
210,-22.7676171875
220,-15.3546484375
230,-8.171679687499992
240,-9.164335937500038
250,-13.625898437500004
260,-13.8379296875
270,-3.7444921874999926
280,2.4353515624999895
290,-22.041210937499997
300,-11.884296874999993
310,2.3331640624999865
320,-8.954570312499996
330,-7.1671484374999865
340,-4.907031249999994
350,-3.4725000000000104
360,-7.317070312499986
370,-6.998710937499994
380,-8.508007812499997
390,-3.0642187499999993
400,8.94253906249995
410,-9.277460937499999
420,-3.512773437499984
430,-12.419296874999993
440,-6.662578125000014
450,-8.291328124999998
460,-1.367226562500016
470,-18.405468749999994
480,-9.568007812500003
490,-7.2935937499999905
500,6.2203124999999915
510,-3.500468749999991
520,-13.359960937499995
530,-5.320859374999997
540,15.294023437499979
550,-0.7544921875000004
560,2.4558984375000144
570,-6.8153125000000045
580,-0.3103906250000432
590,-7.281132812499999
600,-7.62074218749999
610,7.424882812499993
620,-8.449921874999994
630,-12.226132812499998
640,9.36835937499996
650,-6.30031249999999
660,2.6262890624999793
670,-9.147187499999994
680,6.338398437500004
690,-0.4431640624999986
700,13.284570312499946
710,12.671640624999986
720,-6.968984374999994
730,-0.9030859375000001
740,8.26710937499999
750,-7.962539062500001
760,8.881210937499988
770,6.137421875000017
780,4.438437499999996
790,6.2965234374999905
800,3.8862500000000155
810,-7.046953124999993
820,8.438593749999928
830,6.527890624999886
840,9.743789062499925
850,14.116445312499922
860,2.6411718750000004
870,-4.146914062499979
880,9.055976562499952
890,-4.041874999999989
900,2.646484374999992
910,6.4207421874999655
920,-1.2464843749999708
930,16.75570312499992
940,7.985664062499943
950,2.3805468749999927
960,5.420624999999941
970,8.041757812499949
980,16.26855468750001
990,-15.987695312499998
1000,-1.1353906249999737
