Episode,AverageReward_IQL
1,-44.11062500000003
2,-46.07156250000002
3,-45.66359375000007
4,-46.71828125000001
5,-40.905781250000125
6,-36.28312499999996
7,-38.62718750000005
8,-39.00781250000005
9,-32.84984375000004
10,-38.47499999999999
11,-44.36140625000001
12,-42.326875
13,-43.12953125000002
14,-41.48015625000004
15,-38.71218749999999
16,-46.29515625000003
17,-32.820937500000014
18,-26.454062500000028
19,-36.06859375000001
20,-26.29328125000003
21,-37.89843750000001
22,-36.25390625000001
23,-31.361718750000026
24,-36.68609375000002
25,-16.367499999999975
26,-30.55656249999998
27,-15.375781249999976
28,-29.70656250000008
29,-33.521250000000066
30,-39.379531250000035
31,-23.830156249999995
32,-23.97968750000006
33,-30.227343750000014
34,-31.435468750000034
35,-28.08125000000001
36,-37.03421874999999
37,-24.595625000000048
38,-32.79109375000001
39,-39.472031249999965
40,-32.413281250000104
41,-21.144687500000057
42,-13.159843749999991
43,-31.912500000000115
44,-18.167968750000004
45,-41.57406250000005
46,-20.402500000000032
47,-3.0182812499999767
48,-14.995937499999952
49,-23.44671875000001
50,-17.00796874999998
51,-30.14578125000002
52,-14.42218749999999
53,-24.11140624999999
54,-17.580624999999984
55,-8.147656249999947
56,-7.699062499999977
57,-19.41546875
58,-21.82921875000001
59,-27.012656250000184
60,-24.70093750000005
61,-3.8384374999999937
62,-14.283593749999941
63,0.07796875000002589
64,-15.65484375
65,-13.565468749999967
66,-25.79343750000003
67,-19.802343750000002
68,-21.967343750000023
69,-21.967031250000097
70,-15.158124999999957
71,-16.618750000000002
72,-21.79078125000007
73,-24.834531250000108
74,-15.561874999999988
75,-16.820781249999968
76,-18.289687500000174
77,-10.383281249999927
78,-17.705468749999948
79,-7.395781249999956
80,-10.514374999999967
81,-16.27624999999999
82,-14.368124999999965
83,-21.223125000000024
84,-6.6535937499999935
85,-22.97171875000004
86,-16.65921875000002
87,-24.187499999999996
88,-29.40781250000001
89,-14.74343750000001
90,-20.486562499999994
91,-10.784843749999986
92,-11.872968749999972
93,-15.383281249999985
94,-22.797812499999996
95,-12.255937499999987
96,-15.79875
97,-14.524999999999945
98,-14.168125
99,-13.708281249999983
100,-22.67203125000003
101,-22.81281250000002
102,-4.989531249999996
103,4.946406250000009
104,-10.09406249999998
105,-19.03890625000003
106,-9.929374999999936
107,-19.20734374999999
108,-17.519375000000007
109,-18.857968749999973
110,-7.648749999999962
111,-17.773750000000003
112,-13.837968749999987
113,-15.498437500000005
114,-12.151562499999985
115,-16.75437499999997
116,-15.329843749999993
117,-18.952656249999986
118,-12.293281250000005
119,-17.84531250000001
120,-30.350625000000097
121,-32.00015625
122,-19.07390624999997
123,-31.14343749999998
124,-33.40531249999999
125,-36.33531249999998
126,-32.57421875000002
127,-30.055000000000014
128,-25.936718750000004
129,-39.125000000000064
130,-28.742656249999985
131,-26.138750000000012
132,-26.89890625000003
133,-31.803124999999998
134,-32.39249999999999
135,-30.42640624999998
136,-28.863750000000007
137,-29.192812499999995
138,-34.65140625000001
139,-25.674062500000023
140,-17.245156250000008
141,-17.456875
142,-20.977812499999974
143,-21.971562500000008
144,-24.04187499999998
145,-16.76828125
146,-25.00140625
147,-37.20062500000004
148,-31.23906250000004
149,-27.824687499999957
150,-29.955781250000026
151,-14.919218750000002
152,-7.288281249999996
153,-28.834531250000005
154,-13.757187500000015
155,-4.477968749999999
156,-16.93140625
157,-18.490312499999998
158,-23.041093749999987
159,-8.969687500000001
160,-8.282187500000004
161,-16.300625000000007
162,-20.369218749999998
163,-25.292968750000007
164,-16.467499999999998
165,-18.828125000000018
166,-27.081562500000015
167,-19.816250000000014
168,-5.25218749999999
169,-10.844062499999993
170,-7.438906249999994
171,-12.497187499999974
172,5.6785937499999966
173,-30.67140625000001
174,-1.5954687499999929
175,-31.711093750000067
176,-30.522812499999986
177,-4.387968750000007
178,-16.961718749999992
179,-7.7060937499999715
180,-16.275312500000087
181,-10.584218750000003
182,-15.80875
183,-15.299374999999998
184,0.7225000000000065
185,-0.5484374999999592
186,-9.960937499999998
187,5.768437499999987
188,-13.677187499999999
189,-18.407499999999995
190,-19.662812500000005
191,-7.734374999999984
192,-8.917812499999997
193,-13.257968749999991
194,-15.194062499999998
195,-1.620156249999997
196,-17.52624999999999
197,-12.306718749999995
198,13.58468750000003
199,-17.79874999999998
200,-21.10984375000002
201,-17.115781250000026
202,-17.255312500000013
203,-11.632031250000004
204,8.894062500000002
205,-20.909218749999976
206,-18.172031250000007
207,-17.904062500000013
208,-21.40734375
209,-14.48406249999999
210,-23.916562499999994
211,-16.14609375000001
212,-2.540468749999995
213,-20.759687500000013
214,-6.317187499999989
215,-0.6799999999999997
216,2.7251562500000217
217,-29.849843749999998
218,-24.825624999999988
219,-7.419531250000006
220,-18.79374999999996
221,-15.669375000000004
222,-20.58890625000001
223,-16.062031249999993
224,-24.989843750000002
225,-9.041562499999998
226,-11.974062499999995
227,-17.18734375
228,0.516093750000019
229,7.056562500000012
230,-14.26093749999997
231,6.067031250000006
232,-18.10609375000001
233,-11.578125000000004
234,-13.870468749999997
235,-22.66484375000002
236,-12.774531250000011
237,-12.721874999999958
238,-9.366249999999996
239,-2.4635937499999874
240,-1.5848437499999923
241,-4.749218749999997
242,-27.154687500000016
243,-7.025312499999998
244,-2.044218750000004
