Episode,AverageReward_IQL
10,-44.271187499999975
20,-41.673843749999996
30,-17.987281250000027
40,-15.902656250000012
50,-12.230093749999986
60,-16.859906250000016
70,-5.788468749999987
80,-17.789187500000015
90,-17.490999999999996
100,-12.353562499999986
110,-9.532062499999986
120,-11.751874999999991
130,-29.068968749999993
140,-13.611875000000003
150,-23.624531250000008
160,-13.957031250000004
170,-6.274281249999995
180,-23.063031250000005
190,-10.12446874999999
200,-8.143499999999998
210,-2.7029374999999867
220,-18.03378125000001
230,-6.952500000000005
240,-0.23912500000001202
250,-2.2389374999999947
260,-5.676343750000006
270,-5.121624999999999
280,-2.0474687500000095
290,4.789093749999994
300,12.783437499999891
310,12.23803124999994
320,3.396406250000003
330,6.96746875
340,-0.2839687500000066
350,4.210687500000025
360,13.43731249999988
370,-4.4858125000000015
380,-5.499937500000001
390,0.015062499999967472
400,-2.477000000000044
410,2.8365000000000142
420,-1.3592812499999893
430,1.566156250000023
440,9.110406250000025
450,5.984468750000028
460,-0.17534374999999933
470,4.097687499999952
480,11.930750000000012
490,15.20862499999995
500,12.154718749999985
510,-3.0169999999999826
520,11.907374999999984
530,3.0432500000000156
540,-1.297749999999987
550,5.387374999999979
560,12.34262499999993
570,7.789437499999996
580,7.548499999999964
590,10.821531249999895
600,10.22259374999993
610,13.17090624999992
620,6.98584374999996
630,13.312031249999905
640,17.051499999999905
650,11.714124999999937
660,5.472093749999983
670,16.281812499999898
680,12.677312499999946
690,8.94896874999993
700,21.40321874999982
710,7.622718749999964
720,18.164499999999872
730,10.050593749999972
740,7.625312500000023
750,13.66640624999992
760,9.723156249999958
770,21.881218749999796
780,15.395624999999916
790,1.016781249999913
800,8.768343749999886
810,0.7643124999999606
820,17.062781249999915
830,11.106499999999942
840,22.911999999999814
850,23.948531249999775
860,20.903124999999914
870,0.6351875000000196
880,6.865218749999992
890,5.1076249999999845
900,19.91806249999987
910,-5.403937499999996
920,19.42309374999986
930,5.623531250000001
940,4.3078749999999975
950,10.929656249999955
960,9.385375000000007
970,-0.723406250000014
980,7.388624999999972
990,11.53865624999994
1000,5.177687499999994
